first_prot,Gene names,Protein names,Peptides,Potential contaminant,Razor unique peptides,Unique peptides,Molweight kDa,Score,Qvalue,Sequence coverage,MSMS Count,Protein IDs,Majority protein Ids
Q99983,OMD,Osteomodulin,6,,6,6,49.492,6.5922,0.0,13.5,11,Q99983,Q99983
O60313-2,OPA1,"Dynamin-like 120 kDa protein, mitochondrial;Dynamin-like 120 kDa protein, form S1",54,,54,54,115.88,238.44,0.0,53.9,774,O60313-2;O60313;E5KLJ5;E5KLJ6;E5KLK1;E5KLJ9;H7C141;H7C321;C9JMB8;C9JY58;A8MXB6;H7C3G2,O60313-2;O60313;E5KLJ5;E5KLJ6;E5KLK1;E5KLJ9
Q9H6K4,OPA3,Optic atrophy 3 protein,5,,5,5,19.996,4.7395,0.0,18.4,11,Q9H6K4;B4DK77;Q9H6K4-2,Q9H6K4;B4DK77
O14841,OPLAH,5-oxoprolinase,53,,53,53,137.46,270.19,0.0,48.0,483,O14841;A0A087WY99,O14841
Q96CV9,OPTN,Optineurin,27,,27,27,65.92,84.143,0.0,52.3,237,Q96CV9;Q96CV9-2;Q96CV9-3;H7C1H4;A0A087WY28;A0A087X2G2;X6RKL2,Q96CV9;Q96CV9-2;Q96CV9-3
Q13415,ORC1,Origin recognition complex subunit 1,2,,2,2,97.349,2.3668,0.0020052,3.1,3,Q13415,Q13415
Q13416,ORC2,Origin recognition complex subunit 2,7,,7,7,65.971,9.3374,0.0,13.5,29,Q13416;B8ZZ80,Q13416
Q9UBD5,ORC3,Origin recognition complex subunit 3,11,,11,1,82.253,12.533,0.0,19.0,29,Q9UBD5;Q9UBD5-2;U3KQL3,Q9UBD5;Q9UBD5-2
O43929,ORC4,Origin recognition complex subunit 4,8,,8,8,50.377,16.665,0.0,21.3,46,O43929;O43929-2;O43929-3;CON__Q2YDI2;C9JGH7;C9J2X8;Q53SE3,O43929;O43929-2;O43929-3
O43913,ORC5,Origin recognition complex subunit 5,7,,7,7,50.282,11.59,0.0,15.2,36,O43913;O43913-2;G3V0H0,O43913;O43913-2
P02763,ORM1,Alpha-1-acid glycoprotein 1,11,,11,7,23.511,63.884,0.0,51.2,389,P02763,P02763
P19652,ORM2,Alpha-1-acid glycoprotein 2,11,,7,7,23.602,77.397,0.0,51.2,228,P19652,P19652
Q9P0S3,ORMDL1;ORMDL2,ORM1-like protein 1;ORM1-like protein 2,3,,3,1,17.371,20.689,0.0,21.6,69,Q9P0S3;Q53FV1;F6WST4,Q9P0S3;Q53FV1;F6WST4
Q8N138,ORMDL3,ORM1-like protein 3,3,,1,1,17.494,31.009,0.0,21.6,45,Q8N138;Q8N138-4;J3KTF9;J3QRM9;F8VXD5,Q8N138;Q8N138-4;J3KTF9;J3QRM9
Q13438,OS9,Protein OS-9,12,,12,12,75.561,29.304,0.0,22.8,71,Q13438;Q13438-6;Q13438-5;Q13438-2;Q13438-7;Q13438-4;B4E321;Q13438-3;Q13438-8;F8W1V2;F8W0R2;F8W1N0;F8VZI7,Q13438;Q13438-6;Q13438-5;Q13438-2;Q13438-7;Q13438-4;B4E321;Q13438-3;Q13438-8
P22059,OSBP,Oxysterol-binding protein 1,37,,37,35,89.42,214.48,0.0,47.0,486,P22059;H0YCV6;H7C1R2;H7C368,P22059
Q969R2-3,OSBP2,Oxysterol-binding protein 2,5,,3,1,84.743,4.4569,0.000133,8.0,22,Q969R2-3,Q969R2-3
Q9BXB5,OSBPL10,Oxysterol-binding protein-related protein 10;Oxysterol-binding protein,16,,16,15,83.969,31.713,0.0,27.2,103,Q9BXB5;Q9BXB5-2;H7C487;H7C199,Q9BXB5;Q9BXB5-2;H7C487
Q9BXB4,OSBPL11,Oxysterol-binding protein-related protein 11,13,,12,12,83.642,27.995,0.0,21.6,64,Q9BXB4,Q9BXB4
Q9BXW6,OSBPL1A,Oxysterol-binding protein-related protein 1,8,,8,8,108.47,8.7002,0.0,9.8,15,Q9BXW6;Q9BXW6-2;Q9BXW6-4;J3QSB8;J3KRT6,Q9BXW6;Q9BXW6-2;Q9BXW6-4
Q9H1P3,OSBPL2,Oxysterol-binding protein-related protein 2,12,,12,8,55.201,23.504,0.0,25.0,46,Q9H1P3;Q9H1P3-2;A0A087WTV1;H0Y7X4,Q9H1P3;Q9H1P3-2;A0A087WTV1
Q9H4L5,OSBPL3,Oxysterol-binding protein-related protein 3,31,,31,1,101.22,162.36,0.0,47.7,168,Q9H4L5;Q9H4L5-3;Q9H4L5-5;Q9H4L5-7;C9JZ19;C9J8P4;C9JEF2;Q9BZF3;Q9BZF3-3;Q9BZF3-4;Q9BZF3-2;Q9BZF3-5,Q9H4L5;Q9H4L5-3;Q9H4L5-5;Q9H4L5-7
Q9H0X9,OSBPL5,Oxysterol-binding protein-related protein 5,4,,2,1,98.615,1.733,0.006432,3.9,13,Q9H0X9;Q9H0X9-3;Q9H0X9-2;H0YCD7,Q9H0X9;Q9H0X9-3;Q9H0X9-2
Q9BZF2,OSBPL7,Oxysterol-binding protein-related protein 7,2,,2,2,95.43,3.0374,0.00061501,3.8,3,Q9BZF2;J3QLK7;Q9BZF2-2,Q9BZF2;J3QLK7;Q9BZF2-2
Q9BZF1,OSBPL8,Oxysterol-binding protein-related protein 8;Oxysterol-binding protein,19,,19,17,101.19,56.353,0.0,25.9,129,Q9BZF1;Q9BZF1-3;Q9BZF1-2;F8VQX7;F8VUA7;F8VVD3;F8VVE7;F8VZ43;F8W060;F8VZB8,Q9BZF1;Q9BZF1-3;Q9BZF1-2;F8VQX7;F8VUA7
Q96SU4,OSBPL9,Oxysterol-binding protein-related protein 9,12,,12,12,83.184,34.952,0.0,18.5,87,Q96SU4;Q96SU4-7;Q96SU4-2;Q96SU4-6;Q96SU4-3;Q96SU4-5;Q96SU4-4;A0A096LPC8;H0YE19;G8JLK0,Q96SU4;Q96SU4-7;Q96SU4-2;Q96SU4-6;Q96SU4-3;Q96SU4-5;Q96SU4-4
Q8WVF1,OSCP1,Protein OSCP1,4,,4,4,44.586,13.661,0.0,14.4,6,Q8WVF1;C9JF58;Q8WVF1-2;Q8WVF1-3;H7C0S2;Q8WVF1-4;H0YAG0,Q8WVF1;C9JF58;Q8WVF1-2;Q8WVF1-3;H7C0S2;Q8WVF1-4
Q9NPF4,OSGEP,Probable tRNA N6-adenosine threonylcarbamoyltransferase,18,,18,18,36.426,76.524,0.0,68.7,226,Q9NPF4;G3V445;G3V249,Q9NPF4
Q9H4B0,OSGEPL1,"Probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial",4,,4,4,45.122,5.8976,0.0,12.6,21,Q9H4B0;Q9H4B0-3;Q9H4B0-2;E5RGZ1;E5RIL9;E7EVL7,Q9H4B0;Q9H4B0-3;Q9H4B0-2;E5RGZ1;E5RIL9;E7EVL7
Q9NRP0,OSTC,Oligosaccharyltransferase complex subunit OSTC,2,,2,2,16.829,29.245,0.0,12.8,55,Q9NRP0;A0A087WUD3;Q9NRP0-2,Q9NRP0;A0A087WUD3;Q9NRP0-2
Q92882,OSTF1,Osteoclast-stimulating factor 1,10,,10,10,23.787,83.611,0.0,55.1,146,Q92882,Q92882
P00480,OTC,"Ornithine carbamoyltransferase, mitochondrial",6,,6,6,39.935,3.1793,0.00049591,18.9,4,P00480,P00480
Q96FW1,OTUB1,Ubiquitin thioesterase OTUB1,15,,15,15,31.284,179.26,0.0,78.6,503,Q96FW1;J3KR44;F5GYN4;F5H6Q1;F5GYJ8;F5H3F0;Q96FW1-2,Q96FW1;J3KR44;F5GYN4;F5H6Q1;F5GYJ8;F5H3F0
Q5VV17,OTUD1,OTU domain-containing protein 1,4,,4,4,51.063,5.4965,0.0,16.4,15,Q5VV17,Q5VV17
Q01804,OTUD4,OTU domain-containing protein 4,16,,16,16,124.04,33.797,0.0,21.0,86,Q01804;Q01804-5;Q01804-3;D6RI06;Q01804-4,Q01804;Q01804-5;Q01804-3
Q8N6M0,OTUD6B,OTU domain-containing protein 6B,9,,9,9,33.812,51.275,0.0,43.0,50,Q8N6M0;A0A087X0W9;Q8N6M0-2;A0A0C4DH76,Q8N6M0;A0A087X0W9;Q8N6M0-2
Q6GQQ9,OTUD7B,OTU domain-containing protein 7B,15,,15,15,92.525,30.086,0.0,23.1,64,Q6GQQ9;Q6GQQ9-2;Q5SZ59;Q8TE49;Q8TE49-2;H0YN66;H0YMI7,Q6GQQ9;Q6GQQ9-2
Q96BN8,OTULIN,Ubiquitin thioesterase otulin,7,,7,7,40.262,10.936,0.0,21.9,31,Q96BN8;H0Y8S4;H0Y9T0,Q96BN8
Q8WZ82,OVCA2,Ovarian cancer-associated gene 2 protein,9,,9,9,24.418,27.674,0.0,61.2,69,Q8WZ82,Q8WZ82
Q12889,OVGP1,Oviduct-specific glycoprotein,5,,5,5,75.42,10.438,0.0,8.3,8,Q12889,Q12889
Q15070,OXA1L,Mitochondrial inner membrane protein OXA1L,11,,11,11,48.547,15.823,0.0,23.0,49,Q15070;S4R3Q9;J3KNA0;Q15070-2;E7EVY0;C9JC63;Q15070-3,Q15070;S4R3Q9;J3KNA0;Q15070-2;E7EVY0
P55809,OXCT1,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",25,,25,25,56.157,133.7,0.0,55.2,355,P55809;E9PDW2;P55809-2;Q9BYC2,P55809;E9PDW2
Q5BKU9,OXLD1,Oxidoreductase-like domain-containing protein 1,2,,2,2,15.855,10.312,0.0,15.0,14,Q5BKU9;I3L208;REV__H3BQQ2;REV__Q86UK7-2;REV__Q86UK7-3;REV__Q86UK7,Q5BKU9;I3L208;REV__H3BQQ2;REV__Q86UK7-2;REV__Q86UK7-3;REV__Q86UK7
Q96HP4,OXNAD1,Oxidoreductase NAD-binding domain-containing protein 1,3,,3,3,34.854,2.4619,0.0014247,12.5,5,Q96HP4;U3KQU8;C9JLB7,Q96HP4;U3KQU8;C9JLB7
Q8N573-2,OXR1,Oxidation resistance protein 1,20,,1,1,93.733,1.941,0.0043578,35.8,4,Q8N573-2;H0YC07;Q8N573-3;Q8N573-6;Q8N573-7;Q8N573-4;E5RII8;E5RFD1;C9JY63;E9PLW2,Q8N573-2;H0YC07;Q8N573-3
Q8N573-5,OXR1,Oxidation resistance protein 1,21,,21,2,94.691,59.146,0.0,37.6,101,Q8N573-5;Q8N573-8;Q8N573,Q8N573-5;Q8N573-8;Q8N573
Q9NWU1,OXSM,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial",10,,10,10,48.842,45.507,0.0,38.1,83,Q9NWU1;Q9NWU1-2;C9JQQ2;C9J2G3;F8VNS3,Q9NWU1;Q9NWU1-2;C9JQQ2;C9J2G3
O95747,OXSR1,Serine/threonine-protein kinase OSR1,21,,21,17,58.022,85.017,0.0,44.0,396,O95747;C9JIG9;F8WBK9,O95747;C9JIG9
Q99571,P2RX4,P2X purinoceptor 4;P2X purinoceptor,5,,5,5,43.369,9.958,0.0,17.0,9,Q99571;Q99571-3;Q99571-2;F6SFZ6;F5H1M6,Q99571;Q99571-3;Q99571-2;F6SFZ6
Q99572,P2RX7,P2X purinoceptor 7,3,,3,3,68.584,1.5373,0.009475,5.9,2,Q99572;Q99572-4;Q99572-8;Q99572-6;F5H8E7;Q99572-7;Q99572-2,Q99572;Q99572-4;Q99572-8;Q99572-6
P13674,P4HA1,Prolyl 4-hydroxylase subunit alpha-1,30,,30,2,61.049,198.42,0.0,54.1,593,P13674,P13674
P13674-2,P4HA1,Prolyl 4-hydroxylase subunit alpha-1,30,,2,2,60.966,4.5825,0.0,53.9,59,P13674-2;P13674-3,P13674-2;P13674-3
O15460,P4HA2,Prolyl 4-hydroxylase subunit alpha-2,23,,23,1,60.901,180.86,0.0,52.0,311,O15460;E7ENX0;E7EPI9;C9JX45;A8MXE0;E7ERI1;C9JCP0;C9JN43;C9JIG4;C9JFJ1,O15460
I3NI03,P4HB,,15,,1,1,18.513,1.5786,0.0088317,65.7,1,I3NI03,I3NI03
P07237,P4HB,Protein disulfide-isomerase,50,,50,36,57.116,323.31,0.0,76.2,2235,P07237;H7BZ94;H0Y3Z3;I3L398;I3L312;I3L3U6;I3L0S0;I3L4M2;I3L3P5;I3L514;I3L1Y5,P07237;H7BZ94;H0Y3Z3
Q9NXG6,P4HTM,Transmembrane prolyl 4-hydroxylase,3,,3,3,56.66,5.2457,0.0,9.0,16,Q9NXG6;Q9NXG6-3;Q9NXG6-2;A0A0C4DGS7;V9GY20;H7C153,Q9NXG6;Q9NXG6-3;Q9NXG6-2
Q9UQ80,PA2G4,Proliferation-associated protein 2G4,31,,31,31,43.786,323.31,0.0,82.0,1322,Q9UQ80;Q9UQ80-2;F8VR77;F8W0A3;H0YIN7;F8VZ69,Q9UQ80;Q9UQ80-2;F8VR77
Q9BRP4,PAAF1,Proteasomal ATPase-associated factor 1,10,,10,1,42.19,13.39,0.0,26.3,62,Q9BRP4,Q9BRP4
P11940,PABPC1;PABPC3,Polyadenylate-binding protein 1;Polyadenylate-binding protein;Polyadenylate-binding protein 3,44,,44,10,70.67,323.31,0.0,73.0,1461,P11940;E7EQV3;P11940-2;A0A087WTT1;E7ERJ7;Q9H361;H0YAP2;E5RGH3;E5RJB9;H0YB86;E5RH24;H0YAS6;H0YB75;H0YAS7;E5RHG7;H0YAW6;H0YC10;Q96DU9;E5RGC4;E5RFD8;Q96DU9-2;E5RJM8,P11940;E7EQV3;P11940-2;A0A087WTT1;E7ERJ7;Q9H361
Q4VXU2,PABPC1L,Polyadenylate-binding protein 1-like,11,,3,3,68.392,3.4511,0.00050454,14.3,11,Q4VXU2;Q4VXU2-2,Q4VXU2;Q4VXU2-2
Q13310-3,PABPC4,Polyadenylate-binding protein 4;Polyadenylate-binding protein,39,,26,3,72.39,81.453,0.0,65.3,437,Q13310-3;Q13310-2;H0Y5F5;H0YEU6;H0YCC8;H0Y6X6,Q13310-3;Q13310-2;H0Y5F5
Q86U42,PABPN1,Polyadenylate-binding protein 2,10,,10,2,32.749,129.53,0.0,51.0,356,Q86U42;Q86U42-2;B4DEH8;G3V4T2;H0YJH9;A6NDY0;A6NDY0-2;A6NDY0-4,Q86U42;Q86U42-2;B4DEH8;G3V4T2
Q6VY07,PACS1,Phosphofurin acidic cluster sorting protein 1,24,,24,23,104.9,60.484,0.0,29.3,208,Q6VY07;Q6VY07-2;B4DF77;E9PSG7;E9PPK2;E9PSE1;E9PNZ9;H0YCU5;E9PNG7;H0YF56;F8W0B1;H0YE62,Q6VY07;Q6VY07-2;B4DF77
Q86VP3,PACS2,Phosphofurin acidic cluster sorting protein 2,10,,9,9,97.701,21.562,0.0,14.4,40,Q86VP3;F8VW41;Q86VP3-4;Q86VP3-3;Q86VP3-2;F8VX22;F8W0V0,Q86VP3;F8VW41;Q86VP3-4;Q86VP3-3;Q86VP3-2;F8VX22
Q9UNF0,PACSIN2,Protein kinase C and casein kinase substrate in neurons protein 2,21,,21,19,55.738,104.53,0.0,48.4,222,Q9UNF0;Q9UNF0-2;B0QYG7;B0QYG8;H0Y923,Q9UNF0;Q9UNF0-2
Q9UKS6,PACSIN3,Protein kinase C and casein kinase substrate in neurons protein 3,14,,14,14,48.486,44.643,0.0,35.6,80,Q9UKS6;A0A0C4DGG1;E9PIY1;E9PJ75;E9PNM9;E9PJ33;H0YDM6,Q9UKS6;A0A0C4DGG1;E9PIY1
Q9Y2J8,PADI2,Protein-arginine deiminase type-2,12,,12,12,75.563,30.998,0.0,21.7,72,Q9Y2J8;Q9Y2J8-2,Q9Y2J8;Q9Y2J8-2
Q9UM07,PADI4,Protein-arginine deiminase type-4,9,,9,8,74.078,19.899,0.0,20.1,15,Q9UM07;B1AQ67,Q9UM07
Q8N7H5,PAF1,RNA polymerase II-associated factor 1 homolog,21,,21,21,59.975,42.157,0.0,46.5,155,Q8N7H5;Q8N7H5-3;Q8N7H5-2;B4DGJ5;M0QYC7,Q8N7H5;Q8N7H5-3;Q8N7H5-2;B4DGJ5
P43034,PAFAH1B1,Platelet-activating factor acetylhydrolase IB subunit alpha,25,,25,25,46.637,172.71,0.0,58.0,485,P43034;I3L495;I3L3N5;P43034-2,P43034
P68402,PAFAH1B2,Platelet-activating factor acetylhydrolase IB subunit beta,11,,11,11,25.569,239.86,0.0,54.6,294,P68402;P68402-4;P68402-3;P68402-2;J3KNE3,P68402;P68402-4;P68402-3;P68402-2
Q15102,PAFAH1B3,Platelet-activating factor acetylhydrolase IB subunit gamma,17,,17,17,25.734,305.81,0.0,94.8,461,Q15102;M0R1K3;M0R389;M0QZT2;M0QXS6;M0R323,Q15102;M0R1K3;M0R389
Q99487,PAFAH2,"Platelet-activating factor acetylhydrolase 2, cytoplasmic",2,,2,2,44.035,7.6343,0.0,6.4,4,Q99487,Q99487
Q9NWQ8,PAG1,Phosphoprotein associated with glycosphingolipid-enriched microdomains 1,3,,3,3,46.98,8.5568,0.0,9.7,4,Q9NWQ8,Q9NWQ8
Q7Z2X7,PAGE2;PAGE2B,P antigen family member 2;Putative G antigen family E member 3,2,,2,2,12.09,4.0043,0.00013028,20.7,7,Q7Z2X7;Q5JRK9;X6R922;Q5JRL0,Q7Z2X7;Q5JRK9;X6R922;Q5JRL0
O60829,PAGE4,P antigen family member 4,1,,1,1,11.153,2.4783,0.001426,12.7,1,O60829,O60829
Q9BTK6,PAGR1,PAXIP1-associated glutamate-rich protein 1,1,,1,1,27.716,3.6118,0.00050852,7.1,5,Q9BTK6;H3BTX0,Q9BTK6;H3BTX0
P22234,PAICS,Multifunctional protein ADE2;Phosphoribosylaminoimidazole-succinocarboxamide synthase;Phosphoribosylaminoimidazole carboxylase,28,,28,28,47.079,323.31,0.0,80.5,710,P22234;E9PBS1;P22234-2;D6RF62,P22234;E9PBS1;P22234-2;D6RF62
Q9H074,PAIP1,Polyadenylate-binding protein-interacting protein 1,18,,18,5,53.524,76.555,0.0,34.2,285,Q9H074;Q9H074-2;D6REB4;D6R9H8,Q9H074;Q9H074-2;D6REB4
Q9H074-3,PAIP1,Polyadenylate-binding protein-interacting protein 1,14,,1,1,42.006,3.7183,0.00025595,36.0,20,Q9H074-3;D6RJF2;D6RJ02;D6RD97,Q9H074-3
Q13153,PAK1,Serine/threonine-protein kinase PAK 1;Non-specific serine/threonine protein kinase,25,,17,13,60.646,85.646,0.0,51.7,192,Q13153;B3KNX7;Q13153-2;E9PM17;H0YCG5;H0YCM0;E9PRP6;E9PMP2;E9PQW5;E9PKH9;E9PJF8,Q13153;B3KNX7;Q13153-2;E9PM17
Q9NWT1,PAK1IP1,p21-activated protein kinase-interacting protein 1,8,,8,8,43.963,10.772,0.0,23.5,20,Q9NWT1,Q9NWT1
Q13177,PAK2,Serine/threonine-protein kinase PAK 2;PAK-2p27;PAK-2p34,31,,31,20,58.042,323.31,0.0,61.8,612,Q13177;H7C1X3,Q13177
O96013,PAK4,Serine/threonine-protein kinase PAK 4,23,,23,21,64.071,77.36,0.0,51.4,237,O96013;O96013-4;O96013-2;O96013-3;M0R2X4;M0R0L9;M0R3G6;M0R1R1,O96013;O96013-4;O96013-2;O96013-3
Q9ULE6,PALD1,Paladin,24,,24,24,96.753,28.116,0.0,34.7,52,Q9ULE6,Q9ULE6
Q8WX93,PALLD,Palladin,53,,53,52,150.56,323.31,0.0,45.1,1235,Q8WX93;Q8WX93-3;Q8WX93-5;Q8WX93-8;Q8WX93-4;Q8WX93-2;Q8WX93-9;Q8WX93-7;H0YA05;F8WA26;D6R9F5;H0Y952;Q8WX93-6;D6RBB1,Q8WX93;Q8WX93-3;Q8WX93-5;Q8WX93-8;Q8WX93-4;Q8WX93-2;Q8WX93-9;Q8WX93-7
O75781,PALM,Paralemmin-1,20,,19,19,42.075,78.886,0.0,48.1,123,O75781;O75781-2;A0A087WTK8;A0A087WWY4,O75781;O75781-2
B1ALY0,PALM2-AKAP2;PALM2,Paralemmin-2,9,,3,3,47.626,6.5242,0.0,24.5,12,B1ALY0;Q8IXS6-2;C9JA33;Q8IXS6;C9JZH4,B1ALY0;Q8IXS6-2;C9JA33;Q8IXS6
A6NDB9,PALM3,Paralemmin-3,16,,16,16,71.695,37.858,0.0,33.4,64,A6NDB9;K7EKN5,A6NDB9
Q9NP74,PALMD,Palmdelphin,8,,8,8,62.757,7.897,0.0,15.2,27,Q9NP74;S4R313;Q9NP74-2;Q9NP74-3,Q9NP74;S4R313;Q9NP74-2;Q9NP74-3
P19021,PAM,Peptidyl-glycine alpha-amidating monooxygenase;Peptidylglycine alpha-hydroxylating monooxygenase;Peptidyl-alpha-hydroxyglycine alpha-amidating lyase,6,,6,6,108.33,5.0246,0.0,8.1,3,P19021;P19021-5;P19021-2;P19021-4;P19021-3;P19021-6;H7BYD9;H0Y9I4,P19021;P19021-5;P19021-2;P19021-4;P19021-3;P19021-6;H7BYD9
Q504Q3,PAN2,PAB-dependent poly(A)-specific ribonuclease subunit PAN2,8,,8,8,135.37,8.2983,0.0,8.1,17,Q504Q3;Q504Q3-2;Q504Q3-3,Q504Q3;Q504Q3-2;Q504Q3-3
Q58A45-3,PAN3,PAB-dependent poly(A)-specific ribonuclease subunit PAN3,5,,5,5,89.404,9.2455,0.0,6.2,10,Q58A45-3;A0A0C4DFZ9;Q58A45;Q58A45-2;Q58A45-4,Q58A45-3;A0A0C4DFZ9;Q58A45;Q58A45-2
Q9BZ23,PANK2,"Pantothenate kinase 2, mitochondrial",7,,7,7,62.68,23.849,0.0,18.9,45,Q9BZ23;Q9BZ23-3;Q9BZ23-4;V9GYZ0;Q9BZ23-2;Q9H999;V9GYH1;E5RHA5,Q9BZ23;Q9BZ23-3;Q9BZ23-4;V9GYZ0
Q9NVE7,PANK4,Pantothenate kinase 4,28,,28,28,85.99,71.259,0.0,42.8,156,Q9NVE7;E9PHT6;H0YA26;H0Y9E4;D6RJF3;H0YA31;H0YA02,Q9NVE7;E9PHT6;H0YA26
O95428,PAPLN,Papilin,2,,2,2,137.7,4.3689,0.00013242,2.6,1,O95428;B5MDP7;G3V5P6;O95428-4;O95428-6;O95428-5,O95428;B5MDP7;G3V5P6;O95428-4;O95428-6;O95428-5
P51003,PAPOLA,Poly(A) polymerase alpha,24,,24,22,82.842,60.873,0.0,42.8,189,P51003;G3XAH6;G3V2A0;P51003-2;A0A0C4DGK1;G3V3I9;Q9NRJ5;G3V457;H0YJ00;H0YJL4,P51003;G3XAH6;G3V2A0;P51003-2
Q9BWT3,PAPOLG,Poly(A) polymerase gamma,13,,11,8,82.802,13.274,0.0,21.2,18,Q9BWT3;Q9BWT3-2;A0A0C4DH56;F8WAT4,Q9BWT3;Q9BWT3-2
O43252,PAPSS1,Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1;Sulfate adenylyltransferase;Adenylyl-sulfate kinase,28,,28,26,70.832,100.14,0.0,49.5,452,O43252,O43252
O95340,PAPSS2,Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 2;Sulfate adenylyltransferase;Adenylyl-sulfate kinase,22,,20,20,69.5,43.307,0.0,41.5,120,O95340;O95340-2,O95340;O95340-2
Q8TEW0,PARD3,Partitioning defective 3 homolog,34,,34,33,151.42,124.75,0.0,29.6,183,Q8TEW0;Q8TEW0-2;Q8TEW0-4;Q8TEW0-11;Q8TEW0-6;Q5VWV2;Q8TEW0-7;Q8TEW0-5;Q8TEW0-8;Q8TEW0-3;Q8TEW0-10;Q5VWU8;Q8TEW0-9;F5GZI3;B1AP52,Q8TEW0;Q8TEW0-2;Q8TEW0-4;Q8TEW0-11;Q8TEW0-6;Q5VWV2;Q8TEW0-7;Q8TEW0-5;Q8TEW0-8;Q8TEW0-3;Q8TEW0-10;Q5VWU8;Q8TEW0-9;F5GZI3
Q8TEW8,PARD3B,Partitioning defective 3 homolog B,7,,6,6,132.49,4.5128,0.0,6.1,5,Q8TEW8;Q8TEW8-5;Q8TEW8-2;R4GN62;Q8TEW8-6;Q8TEW8-3;A0A087WZG6;A0A087X1S9;A0A087WYL6;Q8TEW8-4,Q8TEW8;Q8TEW8-5;Q8TEW8-2;R4GN62;Q8TEW8-6;Q8TEW8-3;A0A087WZG6;A0A087X1S9;A0A087WYL6
Q9BYG5,PARD6B,Partitioning defective 6 homolog beta,9,,9,9,41.182,36.856,0.0,26.9,102,Q9BYG5;Q9BYG4;Q9NPB6;R4GMM2;Q9BYG5-2;Q9NPB6-2,Q9BYG5
Q86W56,PARG,Poly(ADP-ribose) glycohydrolase,11,,11,11,111.11,17.445,0.0,16.8,32,Q86W56;Q86W56-2;Q86W56-3;Q86W56-5;Q86W56-4;A0A087WXI6;A0A087WX07,Q86W56;Q86W56-2;Q86W56-3;Q86W56-5;Q86W56-4
Q99497,PARK7,Protein deglycase DJ-1,20,,20,20,19.891,319.71,0.0,89.4,1182,Q99497;K7ELW0;K7EN27,Q99497;K7ELW0;K7EN27
Q9H300,PARL,"Presenilins-associated rhomboid-like protein, mitochondrial;P-beta",7,,7,7,42.19,19.012,0.0,18.2,56,Q9H300;C9JNP8;Q9H300-2;F8WCQ4;H7C0U0;H7C045;H7C122,Q9H300;C9JNP8;Q9H300-2;F8WCQ4
O95453,PARN,Poly(A)-specific ribonuclease PARN,22,,22,22,73.45,46.153,0.0,33.3,152,O95453;O95453-2;O95453-3;O95453-4;H3BRK1;F5H1Z4,O95453;O95453-2;O95453-3;O95453-4;H3BRK1
P09874,PARP1,Poly [ADP-ribose] polymerase 1,71,,71,71,113.08,323.31,0.0,67.1,1824,P09874;Q5VX84;Q5VX85,P09874
Q53GL7,PARP10,Poly [ADP-ribose] polymerase 10,33,,33,33,110.0,146.62,0.0,44.2,207,Q53GL7;E9PK67;E9PNI7;E9PPE7;E9PJI2;E9PPV8;F8W8G7;E9PIA6;E9PIK9;E9PSE7;E9PM86;E9PQQ6;E9PPU2;E9PSG8;E9PLE8,Q53GL7;E9PK67;E9PNI7;E9PPE7
Q9H0J9,PARP12,Poly [ADP-ribose] polymerase 12,19,,19,19,79.063,47.209,0.0,30.7,148,Q9H0J9;G5E9U9;H7C4L8;H7C4Z9,Q9H0J9
Q460N5,PARP14,Poly [ADP-ribose] polymerase 14,56,,56,56,202.8,154.34,0.0,38.5,319,Q460N5;Q460N5-1;Q460N5-4;H7C5R8;Q460N5-3;Q460N5-5;H7C4Y3,Q460N5;Q460N5-1;Q460N5-4;H7C5R8;Q460N5-3
Q8N5Y8,PARP16,Mono [ADP-ribose] polymerase PARP16,4,,4,4,36.382,2.3267,0.0019998,16.5,8,Q8N5Y8;Q8N5Y8-3;Q8N5Y8-2;H3BV75,Q8N5Y8;Q8N5Y8-3;Q8N5Y8-2
Q9UGN5-2,PARP2,Poly [ADP-ribose] polymerase 2,5,,5,5,64.804,2.7423,0.000845,9.8,12,Q9UGN5-2;Q9UGN5;G3V167;E9PJ27;H0YH02,Q9UGN5-2;Q9UGN5;G3V167
Q9UKK3,PARP4,Poly [ADP-ribose] polymerase 4,37,,37,37,192.59,96.767,0.0,24.6,234,Q9UKK3,Q9UKK3
Q8IXQ6-2,PARP9,Poly [ADP-ribose] polymerase 9,39,,39,39,92.27,183.23,0.0,57.5,347,Q8IXQ6-2;Q8IXQ6;Q8IXQ6-3;G5E9U8;C9K0E5,Q8IXQ6-2;Q8IXQ6;Q8IXQ6-3
Q7L3T8,PARS2,"Probable proline--tRNA ligase, mitochondrial",11,,11,11,53.262,53.921,0.0,28.6,107,Q7L3T8,Q7L3T8
Q9NVD7,PARVA,Alpha-parvin,17,,17,14,42.243,113.37,0.0,40.3,386,Q9NVD7;J3KNQ4;E9PS97;Q9NVD7-2,Q9NVD7;J3KNQ4;E9PS97
Q9HBI1,PARVB,Beta-parvin,7,,4,4,41.714,6.6689,0.0,21.7,15,Q9HBI1;A0A087WZB5;Q9HBI1-3;Q9HBI1-2;B0QYP8,Q9HBI1;A0A087WZB5;Q9HBI1-3;Q9HBI1-2
